Id,Year in Program,"Will you TA for Winter quarter?
","
.120","
.124","
.125","
.126","
.135","
.208","
.Instructional Center Tutor","
.300","
.318","
.327/424/425","
.381","
.394","
.402/403","
.407/409","
.424/425","
.428","
.442","
.444","
.461","
.465","
.493","
.505","
.524","
.545","
.335","List any specific significant time conflicts on Tuesdays/Thursdays, such as seminars in your subject","   If we cannot accommodate both a course and time request, which is more important?      ","Please include any additional comments here, including  RA/Fellowship details, any special understanding about what your TA job  will be, graduation plans, etc. "
14,5,Yes,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Acceptable,Preferred,Acceptable,Preferred,Prefer to Avoid,Preferred,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,,,Prioritize my course request,"I will be traveling for some of January, namely Wed 1/14 through Tue 1/20, so I would have to miss a couple of sections if I get a job involving that.

Also, I have TAed for the 461-62 sequence many times now, so it would be an especially good fit for me if possible."
15,5,Yes,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Acceptable,Preferred,Acceptable,Acceptable,Acceptable,Preferred,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,,Tuesday 1:30-3:30,Prioritize my time conflict request,
16,5,Yes,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,,,Prioritize my course request,
17,5,Yes,Acceptable,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Acceptable,Prefer to Avoid,TUESDAY AG seminar & pre-seminar 12:30-3:30,Prioritize my time conflict request,
18,2,Yes,Prefer to Avoid,Acceptable,Acceptable,Preferred,Preferred,Preferred,Prefer to Avoid,Preferred,Preferred,Preferred,Preferred,Acceptable,Preferred,Acceptable,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,,,Prioritize my course request,
19,6,Yes,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Topology Seminar (Tuesday afternoons),Prioritize my time conflict request,
20,5,Yes,,,,,,,,,,,,,,,,,,,,Preferred,,,,,,,Prioritize my course request,Ken Bube has reached out previously about keeping me on for the 464-465 numerical analysis sequence!
21,6,Yes,Preferred,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Preferred,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,,Prioritize my course request,
22,4,Yes,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Number theory seminar on Tuesdays 11am-12pm and Algebraic geometry seminar on Tuesdays 1:45-3:30pm,Prioritize my course request,
23,4,Yes,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Preferred,,Prioritize my course request,
24,4,Yes,Acceptable,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Preferred,Prefer to Avoid,Preferred,Preferred,Prefer to Avoid,Preferred,Preferred,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Preferred,Preferred,Preferred,Acceptable,"On Tuesdays from 13:45 to 15:30 there is AAG seminar and from 11:00 to 11:50 the Number Theory seminar meets. I sometimes attend the Rainwater seminar, on Thursdays from 13:30 up to 15:30 (not as much of a priority as the other two seminars).",Prioritize my course request,
25,4,Yes,Acceptable,Preferred,Preferred,Preferred,Prefer to Avoid,Preferred,,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,AAG seminar Tuesdays 2:30-3:30,Prioritize my time conflict request,
26,1,Yes,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Acceptable,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,,Prioritize my time conflict request,
27,1,Yes,Acceptable,Preferred,Acceptable,Acceptable,Acceptable,Preferred,Acceptable,Acceptable,Preferred,Acceptable,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Preferred,Acceptable,Prefer to Avoid,,Tuesday 1:45-3:30pm; Thursday 3:00-4:00pm,Prioritize my time conflict request,
28,3,Yes,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,,Prioritize my course request,
29,6,Yes,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Acceptable,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,I can't work from 9:30 to 12:30 due to James' seminar.,Prioritize my time conflict request,"I do hope very much to TA for the undergraduate algebra sequence once, especially given that I taught a related course in the summer. I am very much interested in how the course is conducted by an experienced instructor so that I can improve my own teaching. Also I study algebra, so my study and my experience both fit me to be the TA for the undergraduate algebra sequence."
30,5,Yes,Acceptable,Preferred,Preferred,Prefer to Avoid,Prefer to Avoid,Preferred,Acceptable,Preferred,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Acceptable,Acceptable,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Preferred,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,,Prioritize my course request,
31,5,Yes,Preferred,Acceptable,Acceptable,Acceptable,Acceptable,Preferred,Prefer to Avoid,Acceptable,Preferred,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,-,Prioritize my course request,-
32,,Yes,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Preferred,Acceptable,Preferred,Acceptable,Preferred,Preferred,Acceptable,Acceptable,Prefer to Avoid,Acceptable,Preferred,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,,"Time conflicts as GSR: Tuesday 11-12:30, 3:30-5; Thursday 4:30-6.",Prioritize my time conflict request,I've had a conversation with Rekha about TAing Math 318 long term.
33,6,Yes,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Acceptable,Preferred,Prefer to Avoid,Acceptable,Acceptable,Preferred,Preferred,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,The Algebra & Algebraic Geometry seminar meets on Tuesday early afternoons from 2:30-3:30 and I would rather be free for this time since my work is strongly related to many such seminars.,Prioritize my course request,None out of the ordinary; I plan to graduate Spring 2026.
34,3,Yes,Acceptable,Acceptable,Preferred,Acceptable,Prefer to Avoid,Preferred,Preferred,Preferred,Preferred,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,"TUESDAY 1:45 - 3:30 AAG Seminar, THURSDAY 3:00-4:00 Student AG Seminar",Prioritize my time conflict request,
35,5,Yes,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Preferred,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Topology Seminar and Student DUBTOP seminar,Prioritize my course request,
36,5,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Prioritize my course request,I will be supported through an RA by my advisor
37,2,Yes,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Preferred,,Preferred,Acceptable,Preferred,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Acceptable,Preferred,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,,Prioritize my course request,
38,1,Yes,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,,Prioritize my course request,
39,4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Prioritize my time conflict request,Lead TA Position.
40,3,Yes,Acceptable,Acceptable,Acceptable,Preferred,Acceptable,Preferred,Preferred,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,I would like to continue going to the algebraic geometry seminar on Tuesdays at 1:45 and the student algebraic geometry seminar on Thursdays at 3:00.,Prioritize my time conflict request,
41,3,Yes,Preferred,Preferred,Preferred,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Preferred,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Tuesday Algebraic Geometry Seminar 130-330pm,Prioritize my time conflict request,I would strongly prefer a grader job instead of a TA job. 
42,6,Yes,Preferred,Preferred,Preferred,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,,Prioritize my course request,
43,3,Yes,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Preferred,Preferred,Acceptable,Acceptable,Acceptable,Acceptable,Preferred,Preferred,Preferred,Preferred,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Preferred,Acceptable,midday preferred. ,Prioritize my course request,Please do not put me in 125 or 124. I would really really prefer to grade for manifolds. 
44,5,Yes,Prefer to Avoid,Acceptable,Preferred,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Preferred,,Preferred,Preferred,,,,,,,,,,,,,,8:00 a.m. - 10:00 a.m.,Prioritize my course request,
45,6,Yes,Acceptable,Acceptable,Acceptable,Preferred,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Acceptable,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Acceptable,Tuesdays 12:00 - 3:30 unavailable for algebra seminar. ,Prioritize my course request,"I have experience as a TA for graduate algebra (Math 505) and am the current TA for math 504. Even if I'm not assigned 505 next quarter, I plan on conferring with the TA/grader to talk about peer review, course notes, etc. "
46,2,Yes,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Preferred,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,"Tuesday, Thursday 1pm-5pm",Prioritize my time conflict request,
47,2,Yes,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Preferred,Preferred,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Preferred,Acceptable,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Acceptable,Prefer to Avoid,Acceptable,I would prefer 2:30-4:20pm assignment if possible,Prioritize my course request,
48,3,Yes,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Acceptable,Preferred,Acceptable,Preferred,Prefer to Avoid,Preferred,Preferred,Acceptable,Prefer to Avoid,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,,Prioritize my course request,
49,4,Yes,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Acceptable,Preferred,Prefer to Avoid,Preferred,Preferred,Acceptable,Acceptable,Acceptable,Preferred,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Preferred,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Acceptable,Acceptable,,Prioritize my course request,
50,5,Yes,Prefer to Avoid,Prefer to Avoid,Acceptable,Preferred,Prefer to Avoid,Acceptable,Prefer to Avoid,Acceptable,Preferred,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,,Tuesdays 2:30–4:30pm: Topology Pre-Seminar & Seminar,Prioritize my course request,
51,5,Yes,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Preferred,Prefer to Avoid,Preferred,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Acceptable,Preferred,Preferred,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,,Prioritize my course request,
52,4,Yes,,,Acceptable,Acceptable,,,,Preferred,,,,,Preferred,,,,,,,,,Preferred,,,,Tuesdays: 11am-12pm number theory seminar / group meeting. Thursdays: 3:30-5:30pm course,Prioritize my time conflict request,
53,3,Yes,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Tuesday 145 - 330 p: AAG seminar. Thursday 3 - 4 p: Student AG seminar.,Prioritize my course request,
54,3,Yes,Preferred,Preferred,,Acceptable,Acceptable,Acceptable,Acceptable,Preferred,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,"Tuesday from 11am-1pm -- I prefer morning assignments, but any are okay! :)",Prioritize my time conflict request,Thank you! 
55,3,Yes,Acceptable,Preferred,Acceptable,Preferred,Prefer to Avoid,Preferred,Prefer to Avoid,Preferred,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Not Tuesdays after 2pm due to Topology Seminar,Prioritize my time conflict request,
56,2,Yes,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,,12:30-3:20 (Tue & Thur) seminars and topic class,Prioritize my course request,
57,6,Yes,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Preferred,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,,Prioritize my course request,I typically do 318 and my understanding is that another TA  would be joining me to learn the ropes
58,2,Yes,Acceptable,Preferred,Preferred,Preferred,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Personal duties at home do not allow me to lead TA quiz sections that start at 8:30am. I will be available for the 10:30am time slot.,Prioritize my course request,I would like to TA for Charles Camacho this upcoming winter quarter.
59,2,Yes,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Preferred,Preferred,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,,Prioritize my course request,"As a probability student, I would really appreciate 394 if possible."
