,Autumn 2025 Assignment,Year in Program,"Will you TA for Autumn quarter?
","   If we cannot accommodate both a course and time request, which is more important?      ","
.120","
.124","
.125","
.126","
.134","
.208","
.Instructional Center Tutor","
.300","
.327","
.334","
.381","
.402","
.407","
.411","
.424","
.427","
.441","
.464","
.491","
.504","
.514","
.534","
.544","List any specific significant time conflicts on Tuesdays/Thursdays, such as seminars in your subject","Please include any additional comments here, including  RA/Fellowship details, any special understanding about what your TA job  will be, graduation plans, etc. "
11,300D GRADE,6,Yes,Prioritize my course request,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Preferred,Acceptable,Acceptable,Prefer to Avoid,Acceptable,Acceptable,Preferred,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,None,
12,126 CC & CD,4,Yes,Prioritize my course request,Prefer to Avoid,Prefer to Avoid,Acceptable,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,,
13,441 GRADE,4,Yes,Prioritize my course request,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Preferred,Acceptable,Acceptable,Preferred,Preferred,Prefer to Avoid,Acceptable,Prefer to Avoid,Acceptable,Preferred,Preferred,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Preferred,,
14,120 BE & BF,2,Yes,Prioritize my course request,Preferred,Acceptable,Acceptable,Acceptable,Prefer to Avoid,,Acceptable,Preferred,Acceptable,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,,
15,441 GRADE,6,Yes,Prioritize my time conflict request,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,"Tuesday evenings Topology seminars, and Monday evenings are student topology seminar",
16,124 AA & AB,2,Yes,Prioritize my course request,Preferred,Preferred,Preferred,Preferred,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid, Registered for post-noon class on Tues/Thurs,
17,125 CA & CB,4,Yes,Prioritize my time conflict request,Preferred,Preferred,Preferred,Preferred,,Preferred,,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Algebra seminar on Tuesdays 2:30-3:30. If possible also the algebra pre seminar 1:45-2:30.,I have a preference against early Quiz sections.
18,126 BE & BF,3,Yes,Prioritize my course request,Prefer to Avoid,Acceptable,Acceptable,Preferred,Acceptable,Preferred,Prefer to Avoid,Preferred,Preferred,Acceptable,Preferred,Preferred,Preferred,Preferred,Preferred,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,,,
19,464 GRADE,5,Yes,Prioritize my course request,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,,"Ken Bube has reached out to me about resuming my TA duties for 464/465 the coming two quarters, I would appreciate doing precisely this!"
20,125 AA & AB,3,Yes,Prioritize my time conflict request,Preferred,Acceptable,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Acceptable,Preferred,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Preferred,I want to attend Tuesday Algebraic Geometry/Algebra seminar (145-330pm). Tuesday and Thursday before 1030am is NOT preferred as I schedule advisor meetings then usually. ,I will prefer a grading job over a classroom TA job. 
21,120 AA & AB,2,Yes,Prioritize my course request,Preferred,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Conflicts from 9 to 11:40 AM,
22,RA,5,No,Prioritize my course request,,,,,,,,,,,,,,,,,,,,,,,,,"I anticipate being supported as an RA with my advisor, Professor Dmitriy Drusvyatskiy"
23,124 EC & ED,4,Yes,Prioritize my time conflict request,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Tuesdays: number theory seminar 11am-12pm. Thursdays: class 3:30-5:30pm.,
24,126 CE & CF,2,Yes,Prioritize my course request,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Acceptable,Acceptable,Preferred,Acceptable,Preferred,Prefer to Avoid,Acceptable,Acceptable,Prefer to Avoid,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Acceptable,prefer not to do afternoons if teaching section (conflict with Current Topics Thursday afternoons) ,
25,126 EA & EB,6,Yes,Prioritize my time conflict request,Acceptable,Preferred,Acceptable,Preferred,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,"TTh 4:30 - 5:30, T 1:45 - 3:30","I would prefer an assignment with a teaching component, so that I can have my teaching evaluated (for postdoc applications)."
26,124 BA & BB,4,Yes,Prioritize my course request,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Acceptable,Preferred,Acceptable,Prefer to Avoid,Acceptable,Preferred,Acceptable,Preferred,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Tuesdays 1:45-3:30 (Prefer to avoid AAG seminar and preseminar),
27,125 CC & CD,2,Yes,Prioritize my course request,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Acceptable,Preferred,,Preferred,Preferred,Acceptable,Preferred,Preferred,Acceptable,Preferred,Preferred,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,,
28,464 GRADE,5,Yes,Prioritize my course request,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Acceptable,Acceptable,Prefer to Avoid,Acceptable,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Acceptable,Prefer to Avoid,,
29,407 GRADE,4,Yes,Prioritize my course request,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Preferred,Acceptable,Acceptable,Preferred,Prefer to Avoid,Preferred,Prefer to Avoid,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,,Francois requested that I be one of his TAs for Math 407 in the fall. I would be happy to do so.
30,NSF,3,No,Prioritize my course request,,,,,,,,,,,,,,,,,,,,,,,,,"Will not TA, expecting NSF GRFP funding."
31,126 EC & ED,3,Yes,Prioritize my time conflict request,Acceptable,Preferred,Preferred,Preferred,Prefer to Avoid,Preferred,Preferred,Preferred,Preferred,Prefer to Avoid,Acceptable,Preferred,Prefer to Avoid,Preferred,Preferred,Preferred,Preferred,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,,"I am not a morning person - waking up for 8:30am section would be very difficult for me. Also, I would like to be able to attend AG seminar, but this is not the most important thing.",
32,125 BE & BF,2,Yes,Prioritize my time conflict request,Prefer to Avoid,Acceptable,Prefer to Avoid,Acceptable,Acceptable,Preferred,Prefer to Avoid,Acceptable,Preferred,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Preferred,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Acceptable,Preferred,"student AG seminar (Thursday 3:00-4:00?), algebra and algebraic geometry seminar (Tuesday 1:30 - 3:30?)",Please no early morning TA'ing (after 11:30 is strongly preferred; 10:30 is baseline tolerable)
33,125 DC & DD,2,Yes,Prioritize my course request,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Preferred,Preferred,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Acceptable,Preferred,Prefer to Avoid,Preferred,Prefer to Avoid,Preferred,,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,,
34,125 DA & DB,3,Yes,Prioritize my course request,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Preferred,Acceptable,Acceptable,Prefer to Avoid,Acceptable,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,T/R 9-11am,
35,300C GRADE,5,Yes,Prioritize my time conflict request,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Preferred,Acceptable,Preferred,Prefer to Avoid,Prefer to Avoid,Preferred,Preferred,Preferred,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,"My seminar will meet during the following times: Tuesdays and Thursdays, 8:30–12:30. I would greatly appreciate it if you could assign me a teaching position that avoids conflicts with these hours.","I’ve mostly been teaching calculus series so far, so I would be very grateful for the opportunity to TA a different type of course to broaden my teaching experience. Thank you very much for your consideration!"
36,126 BA & BB,4,Yes,Prioritize my course request,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Prefer to Avoid,Preferred,Preferred,Preferred,Prefer to Avoid,Preferred,Prefer to Avoid,Preferred,Preferred,Preferred,Preferred,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Acceptable,Prefer to Avoid,Tuesday 1.45pm to 3.30 Algebraic geometry seminar,
37,NSF,4,No,Prioritize my course request,,,,,,,,,,,,,,,,,,,,,,,,,I will be taking my NSF stipend for the 2025-26 school year.
38,208C GRADE,5,Yes,Prioritize my time conflict request,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,,Acceptable,Acceptable,Acceptable,Acceptable,Preferred,Acceptable,Preferred,Preferred,Preferred,Preferred,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Tuesday 1:30-4pm,
39,491 GRADE,5,Yes,Prioritize my course request,,,,,,,,,,,,,,,,,,,Preferred,,,,,,The instructor of the math 491 is professor Burdzy and he has agreed to have me as TA. Thank you very much!
40,424 GRADE,6,Yes,Prioritize my course request,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,,Tuesday 1:30-3:00 and Thursday 12:30-1:30 conflict with seminars that I attend regularly on my subject,
41,124 DA & DB,5,Yes,Prioritize my time conflict request,Preferred,Preferred,Acceptable,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Unavailable before 10:00,
42,208 D GRADE,5,Yes,Prioritize my course request,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,"Topology seminar, Algebraic geometry seminar",I will be applying for jobs in the fall and several seminar talks scheduled throughout the quarter. It would be extremely helpful to get a grading position for this fall to make this more manageable.
43,134 TA,6,Yes,Prioritize my course request,Acceptable,Acceptable,Preferred,Preferred,Preferred,Preferred,Prefer to Avoid,Acceptable,Preferred,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Preferred,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Acceptable,None,None
44,124 BC & BD,3,Yes,Prioritize my time conflict request,Acceptable,Preferred,Acceptable,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Preferred,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Preferred,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Tuesdays 2:30-4:30,
45,124 FA & FB,2,Yes,Prioritize my course request,Acceptable,Preferred,Acceptable,Preferred,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,None.,
46,126 BC & BD,2,Yes,Prioritize my time conflict request,Acceptable,Preferred,Preferred,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,I have personal responsibilities to attend to in the early mornings. I would like to teach during the midday slot if possible.,"Is it possible to TA for Charles Camacho? One of my goals is to teach mathematics, so I would like to work with him as a TA as I did during this past winter quarter. If not, then I understand."
47,126 DC & DD,2,Yes,Prioritize my course request,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Preferred,Preferred,Preferred,Acceptable,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Acceptable,Prefer to Avoid,Preferred,Acceptable,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,,
48,120 BA & BB,6,Yes,Prioritize my course request,Preferred,Preferred,Preferred,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,N/A,"I would also be interested in an instructor position if there are any available, especially in the 12X sequence! I understand if that isn't possible, but I'm noting my interest here just in case. I plan to apply for teaching jobs in fall, but I'm concerned I don't have enough experience, having only taught one class three years ago."
49,124 EF & EG,2,Yes,Prioritize my course request,Prefer to Avoid,Acceptable,Prefer to Avoid,Acceptable,Acceptable,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,,"I spoke with Professor John Palmieri about being the TA for Math 544, and he has agreed."
50,381 GRADE,5,Yes,Prioritize my course request,Preferred,Preferred,Acceptable,Acceptable,Acceptable,Preferred,Prefer to Avoid,Acceptable,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,-,"I am hoping that I can TA for my advisor, Gaku Liu, for Math 381. He and I have discussed it, and he also will indicate that he would like to have me as his TA. Thank you!"
51,124 DC & DD,6,Yes,Prioritize my course request,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Acceptable,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,,
52,504 GRADE,6,Yes,Prioritize my time conflict request,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Preferred,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Preferred,Acceptable,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,"AAG seminar tuesdays, conflict usually from 12-3:30",
53,407 GRADE,4,Yes,Prioritize my course request,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,,"François sent an email on June 5th to Sarah Garner about me TA'ing Math 407. If that can't be accommodated, can you please let me know? So I can start figuring out asap what options I might have for TAing / CGGC research school"
54,124 FE & FF,3,Yes,Prioritize my course request,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,,
55,IC Tutor,6,Yes,Prioritize my course request,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Preferred,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,,
56,126 AC & AD,2,Yes,Prioritize my time conflict request,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Acceptable,Preferred,Prefer to Avoid,Acceptable,Acceptable,Acceptable,,Preferred,,,Acceptable,Preferred,Preferred,,,,,,,"AAG seminars on Tuesday (after 2pm), Student AG seminar which has been on Thursday afternoons but is unplanned yet for next term, and (less significant) NT seminar at 11am Tuesday",
57,334 TA,4,Yes,Prioritize my course request,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Acceptable,Preferred,Acceptable,Acceptable,Preferred,Preferred,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Preferred,Preferred,Preferred,Preferred,Preferred,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,,
58,427 GRADE,4,Yes,Prioritize my time conflict request,,Acceptable,Acceptable,Acceptable,Acceptable,Prefer to Avoid,,Preferred,Preferred,Preferred,Prefer to Avoid,Preferred,Prefer to Avoid,Preferred,Preferred,Preferred,Preferred,Prefer to Avoid,Preferred,Preferred,Prefer to Avoid,Preferred,Preferred,"AAG seminar on Tuesdays, 13:45-15:30; Number Theory seminar on Thursdays, 11-11:50; Rainwater seminar on Tuesdays 13:30-15:30",
59,120 BC & BD,3,Yes,Prioritize my course request,Preferred,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,,
60,300C GRADE,6,Yes,Prioritize my course request,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Acceptable,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,,I'm sad my fav math 111 isn't on this list :(( but I love math 300 and 208 as well :)))
